title,description,slug,name,weight,parent,label,class
groovy,"Hijacket Groovy yang dirancang Hi-Fashion dengan tampilan super modis. Seri Groovy adalah seri EKSTRIM, yang memiliki 2 sisi berbeda. Semakin ekstrim, semakin diminati oleh Hijaber",groovy,groovy,150,Katalog Hijacket,,
hyura,"Hijacket Hyura merupakan seri dengan tampilan super modis dengan jaitan & desain kombinasi warna hingga ke lengan dan membentuk huruh H. Dan dilengkapi dua kantong di sisi perutnya, jaket premium berkualitas tinggi ini akan memberi kamu identitas sebagai Hijaber yang modis",hyura,hyura,160,Katalog Hijacket,,
ixora,"Hijacket Ixora Series, adventuring-inspired layer for Hijaber with a pastel color-blocked design on lightweight fabric for an iconic look 100% Polyfiber Imported, 75% Waterproof & Windproof, Full Dourmill Dacron, Pocket Inside.",ixora,ixora,170,Katalog Hijacket,hits,bg-warning
japan-street,"Hijacket Japan Street terinspirasi dari negeri sakura. Buat kamu yang suka Jepang, Hijacket Japan Street dengan sablon 旅行者(Traveler) siap menemani perjalanan & gaya kamu ke negeri sakura.",japan-street,japan-street,180,Katalog Hijacket,,
khalista,"Hijacket Khalista merupakan jaket berkualitas tinggi dengan sablon motif tribal di kanan kirinya dan dilengkapi gaya jari yang sesuai kebutuhan Hijaber, menjadikan jaket ini lebih tangguh dan fashionable",khalista,khalista,190,Katalog Hijacket,,
montix,"Hijacket Montix, adventuring-inspired layer for Hijaber with a color-blocked design on lightweight fabric for an iconic look 100% Polyfiber Imported, 75% Waterproof & Windproof, Full Dourmill Dacron, Pocket Inside",montix,montix,200,Katalog Hijacket,hits,bg-warning
naura,"Hijacket Naura merupakan transisi dari model sporty rancangan pertama dari seri Hijacket. Dibuat untuk para Hijaber dengan gaya panjang, gaya jari, dan sablon chevron sebagai ikonik Hijacket yang membuat fashion modis namun tetap memikirkan sisi kebutuhan Hijaber.",naura,naura,210,Katalog Hijacket,,
oksana,"Hijacket Oksana dibuat untuk para hijaber yang aktif dengan rancangan gaya jari yang memenuhi kebutuhan Hijaber dan warna yang berbeda dari 2 sisi nya, Menjadikan seri ini wajib kamu pakai kemana pun kamu pergi",oksana,oksana,220,Katalog Hijacket,,
qadira,"Hijacket Qadira Original merupakan seri hijacket sporty terbaru dirancang lebih Modis dilengkapi dengan Bordir berkualitas dengan Identitas Hijaber (HJ) dibagian dada ditambah kata motivasi ""Hijab Makes Me Complete Hijacket Makes Me Perfect"" dan ""Strength and Dignity Hijaber Forever"".",qadira,qadira,230,Katalog Hijacket,,
queenbee,"Hijacket Queenbee series Didesain dengan gaya modern, stylish dan modist. Dengan aksen tali di pinggang, terdapat saku depan di kanan dan kiri, sangat nyaman untuk beraktivitas dan bertraveling.",queenbee,queenbee,240,Katalog Hijacket,new,bg-accent
shaqila,Hijacket Shaqila merupakan model Ekslusif ethnic dengan rancangan motif sablon plaid atau gingham yang akan membuat fashion kamu tambah elegant. Sangat cocok menemani hari-harimu,shaqila,shaqila,250,Katalog Hijacket,,
twistone,"Hijacket Twistone dirancang khusus untuk Hijaber yang ingin tampil ceria & unik karena menggunakan bahan Premium Two Tone dengan Bordiran Fun. Bordiran langsung ke material, bukan patch, jadi lebih kuat & awet",twistone,twistone,260,Katalog Hijacket,,
urbanashion,"Hijacket Urbanashion model Hijacket ini didesain khas bergaya urban yang berkesan elegan bikin penampilan Anda tambah berwibawa. Cocok untuk wanita karir atau muslimah profesional. Dengan model modis, dipadu tulisan beberapa nama negara, kantong, dan tali kerut agar lebih stylish",urbanashion,urbanashion,270,Katalog Hijacket,hits,bg-warning
vendulum,"Hijacket Vendulum is jacket for Hijaber, high quality, stylish, and trendy, which is commonly wore by muslim woman nowadays. Completed by pockets on both side of it's belly, with qualified zipper, hoodie, button and waist tie fastening, this premium high quality jacket would give you identity as an urban muslim women as well.",vendulum,vendulum,280,Katalog Hijacket,,
yukata,"Hijacket Yukata Original seri hijacket terbaru dengan tema Sporty model Japan dengan style Finger dipadu dengan sablon Hijaber berkualitas dibagian saku depan menjadikan hijacket yukata ini merupakan identitas dan jati diri seorang hijaber sejati disempurnakan dengan perpaduan warna elegan dengan bahan premium fleece yang tebal, nyaman dan adem.",yukata,yukata,290,Katalog Hijacket,hits,bg-warning
